gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	ba1_threshold	af_basis	pm2_threshold	pm2_strength	pm2_basis	pm4	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	bs2_count	bs2_female_only	ps1	ps1_splice	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
BMPR2	AD					0.001	Strong	0.01		0.0001			applicable	applicable	PM2,PP3			Moderate		applicable	3		applicable	noncanonical	not_applicable					applicable		0.644			0.29			Pulmonary Hypertension Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN125	GN125 Released
BRAF	AD					0.00025	Strong	0.0005		0			applicable	applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN049	GN049 Released; multiple specs (gene-specific kept)
BRCA1	AD					0.0001	Strong	0.001		0			not_applicable	not_applicable				Strong		not_applicable			applicable	canonical	applicable	broad	2-101;1391-1424;1650-1857	Strong	yes	not_applicable								ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN092	GN092 Released
BRCA2	AD					0.0001	Strong	0.001		0			not_applicable	not_applicable				Strong		not_applicable			applicable	canonical	applicable	broad	10-40;2481-3186	Strong	yes	not_applicable								ENIGMA BRCA1 and BRCA2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN097	GN097 Released
CAPN3	AR					0.001	Strong	0.003		0.0001			applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN187	GN187 Released
CDH1						0.001	Strong	0.002		0.00001			applicable	not_applicable				Supporting		not_applicable			not_applicable		not_applicable					not_applicable								Gastric Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN007	GN007 Released
CDH23						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
CDKL5	XL					0.0000083	Strong	0.000083		0			applicable	not_applicable		ge		Strong	no	applicable			applicable		not_applicable					applicable		0.644			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN034	GN034 Released; multiple specs (gene-specific kept)
COCH						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
CTLA4	AD					0.00000111	Strong	0.0000111		0.000000143			applicable	not_applicable				Moderate	no	not_applicable			applicable	canonical	not_applicable					not_applicable		0.75			0.25			Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN122	GN122 Released
CYP1B1	AR					0.01	Strong	0.05		0.0005			applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.773	0.932	0.29	0.183	0.016	Glaucoma Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN104	GN104 Released
DCLRE1C	AR					0.00078	Strong	0.00346		0.00003266		faf	applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable								Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN116	GN116 Released
DICER1	AD					0.0003	Strong	0.003		0.000005			applicable	not_applicable		ge	PM1,PS1	Moderate	no	not_applicable			applicable	noncanonical	not_applicable					not_applicable		0.75			0.5			DICER1 and miRNA-Processing Gene Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN024	GN024 Released
DNM2	AD					0.00000015	Strong	0.0000015		0			applicable	applicable				Strong		not_applicable			applicable		not_applicable					not_applicable		0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN148	GN148 Released
DYSF	AR					0.001	Strong	0.003		0.0001			applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN180	GN180 Released
ENG	AD					0.002	Strong	0.01		0.00004			applicable	not_applicable				Strong	no	not_applicable			applicable		not_applicable					not_applicable		0.644			0.15			Hereditary Hemorrhagic Telangiectasia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN136	GN136 Released
ETHE1						0.0002	Strong	0.001		0.00002	Moderate		applicable	not_applicable				Moderate	no	not_applicable			applicable		not_applicable					applicable		0.75			0.15			Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
F8	XL					0.0000333	Strong	0.000333		0			applicable	not_applicable				Moderate		applicable			applicable	canonical	not_applicable					not_applicable		0.6			0.1			Coagulation Factor Deficiency Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN071	GN071 Released
F9	XL					0.00000556	Strong	0.0000556		0			applicable	not_applicable				Moderate		applicable			applicable	canonical	not_applicable					not_applicable		0.6			0.1			Coagulation Factor Deficiency Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN080	GN080 Released
FBN1						0.00005	Strong	0.001		0.000005			applicable	applicable				Moderate	no	not_applicable			applicable	canonical	not_applicable					not_applicable		0.75			0.326			FBN1 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN022	GN022 Released
FOXG1	AD					0.0000083	Strong	0.000083		0			applicable	not_applicable		ge		Strong	no	not_applicable			applicable		not_applicable					applicable	47-57;58-61;65-69;70-73;74-80	0.644			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN035	GN035 Released; multiple specs (gene-specific kept)
FOXN1	AD					0.00141	Strong	0.00447		0.00002412		faf	applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.932		0.29			Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN113	GN113 Released
GAA						0.005	Strong	0.01		0.001	Moderate		applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					not_applicable		0.7			0.5			Lysosomal Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN010	GN010 Released
GALT	AR					0.005	Strong	0.01		0.0005		faf	applicable	not_applicable		ge		Moderate		applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.15			Galactosemia Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN158	GN158 Released
GAMT						0.001	Strong	0.003		0.0004			applicable	not_applicable				Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.773	0.932	0.29			Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN026	GN026 Released
GATM	AR					0.0001	Strong	0.0005		0.000055			applicable	not_applicable				Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.773		0.29			Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN025	GN025 Released
GCK	AD					0.00004	Strong	0.0001		0.000003		faf	applicable	applicable		ge		Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.15			Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN086	GN086 Released
GJB2						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
GP1BA	AR					0.0005	Strong	0.001		0.0001114			applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					applicable		0.644	0.773		0.29			Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN079	GN079 Released
GP1BB	AR					0.0005	Strong	0.001		0.00006517			applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					applicable		0.644	0.773		0.29			Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN082	GN082 Released
GP9	AR					0.0007	Strong	0.001		0.0000329			applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					applicable		0.644	0.773					Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN083	GN083 Released
GUCY2D	AR					0.0016	Strong	0.016		0.0004			applicable	not_applicable				Moderate		applicable	6		applicable	canonical	not_applicable					not_applicable		0.644	0.774		0.29	0.183		Leber Congenital Amaurosis/early onset Retinal Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN167	GN167 Released; BS1: multiple cutoffs in desc — verify
HBA2	AR					0.001	Strong	0.005		0.0001			applicable	not_applicable				Moderate	no	not_applicable			applicable		not_applicable					not_applicable		0.8			0.7			Hemoglobinopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN173	GN173 Released
HBB	AR					0.001	Strong	0.005		0.0001			applicable	not_applicable				Moderate	no	not_applicable			applicable		not_applicable					not_applicable		0.8			0.7			Hemoglobinopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN170	GN170 Released
HNF1A						0.000033	Strong	0.0001		0.000003		faf	applicable	not_applicable		ge		Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.15			Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN017	GN017 Released
HNF4A	AD					0.000033	Strong	0.0001		0.000003		faf	applicable	not_applicable		ge		Strong		not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.15			Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN085	GN085 Released
HRAS	AD					0.00025	Strong	0.0005		0			applicable	not_applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN046	GN046 Released; multiple specs (gene-specific kept)
IDUA	AR					0.0025	Strong	0.005		0.00025			applicable	not_applicable				Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.773		0.29			Lysosomal Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN091	GN091 Released
IL2RG	XL					0.00249	Strong	0.0111					applicable	not_applicable				Strong		applicable	3		applicable		not_applicable					not_applicable								Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN129	GN129 Released
IL7R	AR					0.00126	Strong	0.00566		0.00004129		faf	applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable								Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN119	GN119 Released
ITGA2B						0.00158	Strong	0.0024		0	Moderate		applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					applicable		0.7			0.25			Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN011	GN011 Released
ITGB3						0.00158	Strong	0.0024		0	Moderate		applicable	not_applicable				Moderate		not_applicable			applicable		not_applicable					applicable		0.7			0.25			Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN011	GN011 Released
JAK3	AR					0.001	Strong	0.00447		0.000115		faf	applicable	not_applicable				Strong		applicable	3		applicable	canonical	not_applicable					not_applicable								Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN121	GN121 Released
KCNQ1	AD,AR					0.0004	Strong	0.004		0.00001			applicable	not_applicable				Moderate	no	not_applicable			applicable	canonical	not_applicable					not_applicable		0.75			0.25			Potassium Channel Arrhythmia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN112	GN112 Released
KCNQ4						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
KRAS	AD					0.00025	Strong	0.0005		0			applicable	not_applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN044	GN044 Released; multiple specs (gene-specific kept)
LDLR						0.002	Strong	0.005		0.0002	Moderate		applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					not_applicable		0.75			0.5			Familial Hypercholesterolemia Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN013	GN013 Released
LZTR1	AD,AR					0.00025	Strong	0.0005		0.000025			applicable	not_applicable				Strong	no	not_applicable			applicable		not_applicable					not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN094	GN094 Released
MAP2K1	AD					0.00025	Strong	0.0005		0			applicable	applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN045	GN045 Released; multiple specs (gene-specific kept)
MAP2K2	AD					0.00025	Strong	0.0005		0			applicable	not_applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN048	GN048 Released; multiple specs (gene-specific kept)
MECP2	XL					0.0000083	Strong	0.000083		0			applicable	not_applicable		ge		Strong	no	applicable			applicable		not_applicable					applicable		0.644			0.29			Rett and Angelman-like Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN036	GN036 Released; multiple specs (gene-specific kept)
MLH1	AD,AR					0.0001	Strong	0.001		0.00002			not_applicable	not_applicable				Moderate		not_applicable			applicable	noncanonical	not_applicable					not_applicable								InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN115	GN115 Released
MRAS	AD					0.00025	Strong	0.0005		0			applicable	not_applicable				Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN087	GN087 Released
MSH2	AD,AR					0.0001	Strong	0.001		0.00002			not_applicable	not_applicable				Moderate		not_applicable			applicable	noncanonical	not_applicable					not_applicable								InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN137	GN137 Released
MSH6	AD,AR					0.00022	Strong	0.0022		0.00002			not_applicable	not_applicable				Moderate		not_applicable			applicable	noncanonical	not_applicable					not_applicable								InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN138	GN138 Released
MTM1	XL					0.0000016	Strong	0.000016		0			applicable	not_applicable				Strong		applicable			applicable		not_applicable					not_applicable		0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN149	GN149 Released
MTOR						0.000185	Strong	0.000926		0			not_applicable	applicable				Moderate	no	applicable	3		applicable		not_applicable					not_applicable								Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
MYBPC3	AD					0.0002	Strong	0.001		0.00004		faf	applicable	not_applicable			PM1	Moderate		not_applicable			applicable		not_applicable					not_applicable		0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN095	GN095 Released
MYH7	AD					0.0001	Strong	0.001		0.00004		faf	applicable	not_applicable			PM1	Moderate		not_applicable			applicable		not_applicable					not_applicable		0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN002	GN002 Released
MYL2	AD					0.0001	Strong	0.001		0.00004		faf	applicable	not_applicable			PM1	Moderate		not_applicable			applicable		not_applicable					not_applicable		0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN102	GN102 Released
MYL3	AD					0.0001	Strong	0.001		0.00004		faf	applicable	not_applicable			PM1	Moderate		not_applicable			applicable		not_applicable					not_applicable		0.7			0.4			Cardiomyopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN103	GN103 Released
MYO15A						0.003	VeryStrong	0.005		0.00007			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN023	GN023 Released
MYO6						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
MYO7A						0.003	Strong	0.005		0.00002			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
MYOC	AD					0.001	Strong	0.01		0.0001			applicable	not_applicable				Strong		not_applicable			applicable		not_applicable					not_applicable		0.644	0.773	0.932	0.29	0.183	0.016	Glaucoma Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN019	GN019 Released
NEB	AR					0.000237	Strong	0.00559		0.0000559			applicable	not_applicable				Strong		not_applicable			applicable		not_applicable					not_applicable		0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN146	GN146 Released
NRAS	AD					0.00025	Strong	0.0005		0			applicable	not_applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN039	GN039 Released; multiple specs (gene-specific kept)
OTC	XL					0.002	Strong	0.01		0.000015		faf	applicable	not_applicable				Moderate		applicable	6		applicable		not_applicable					not_applicable		0.644	0.773	0.932	0.29	0.183	0.016	Urea Cycle Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN156	GN156 Released
OTOF						0.003	VeryStrong	0.005		0.00007			applicable	not_applicable				Strong	no	not_applicable			applicable	canonical	not_applicable					applicable		0.7			0.15			Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN023	GN023 Released
PAH						0.002	Strong	0.015		0.0002			applicable	not_applicable				Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644	0.773	0.932	0.29			Phenylketonuria Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN006	GN006 Released
PALB2	AD,AR					0.0001	Strong	0.001		0.0000033333			not_applicable	not_applicable				Supporting		not_applicable			applicable	canonical	applicable	missense				not_applicable								Hereditary Breast, Ovarian and Pancreatic Cancer Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN077	GN077 Released
PDHA1						0.000092	Strong	0.00092		0.0000092	Moderate		applicable	not_applicable				Moderate	no	applicable	16		applicable		not_applicable					applicable		0.75			0.15			Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
PIK3CA						0.000185	Strong	0.000926		0			not_applicable	applicable				Moderate	no	applicable	3		applicable		not_applicable					not_applicable								Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
PIK3CD	AD					0.000316	Strong	0.00316		0.00000132			not_applicable	not_applicable		ge		Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644			0.29			Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN141	GN141 Released; BS1: multiple cutoffs in desc — verify
PIK3R1	AD					0.000316	Strong	0.00316		0.00000132			applicable	not_applicable		gt		Moderate		not_applicable			applicable	canonical	not_applicable					not_applicable		0.644			0.29			Antibody Deficiencies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN160	GN160 Released; BS1: multiple cutoffs in desc — verify
PIK3R2						0.000185	Strong	0.000926		0			not_applicable	not_applicable				Moderate	no	applicable	3		applicable		not_applicable					not_applicable								Brain Malformations Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN018	GN018 Released
PMS2	AD,AR					0.00028	Strong	0.0028		0.00002			not_applicable	not_applicable				Moderate		not_applicable			applicable	noncanonical	not_applicable					not_applicable								InSiGHT Hereditary Colorectal Cancer/Polyposis Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN139	GN139 Released
POLG						0.005	Strong	0.01		0.0005	Moderate		applicable	not_applicable				Moderate	no	not_applicable			applicable		not_applicable					applicable		0.75			0.15			Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
PPP1CB	AD					0.00025	Strong	0.0005		0			applicable	applicable				Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN128	GN128 Released
PTEN	AD					0.000043	Strong	0.00056		0.00001			applicable	applicable				Moderate	no	not_applicable			applicable	canonical	not_applicable					not_applicable		0.7			0.5			PTEN Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN003	GN003 Released; BS1: multiple cutoffs in desc — verify
PTPN11	AD					0.00025	Strong	0.0005		0			applicable	applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN043	GN043 Released; multiple specs (gene-specific kept)
RAF1	AD					0.00025	Strong	0.0005		0			applicable	not_applicable			PM1	Strong	no	not_applicable			applicable		applicable	truncating				not_applicable		0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN040	GN040 Released; multiple specs (gene-specific kept)
RAG1	AR					0.00195	Strong	0.00872		0.000102		faf	applicable	not_applicable				Strong		not_applicable			applicable	canonical	not_applicable					not_applicable								Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN123	GN123 Released
